person_age,person_income,loan_amnt,loan_int_rate
22,59000,35000,16.02
21,9600,1000,11.14
25,9600,5500,12.87
23,65500,35000,15.23
24,54400,35000,14.27
21,9900,2500,7.14
26,77100,35000,12.42
24,78956,35000,11.11
24,83000,35000,8.9
21,10000,1600,14.74
22,85000,35000,10.37
21,10000,4500,8.63
23,95000,35000,7.9
26,108160,35000,18.39
23,115000,35000,7.9
23,500000,30000,10.65
23,120000,35000,7.9
23,92111,35000,20.25
23,113000,35000,18.25
24,10800,1750,10.99
25,162500,35000,7.49
25,137000,34800,16.77
22,65000,34000,17.58
24,10980,1500,7.29
22,80000,33950,14.54
24,67746,33000,12.68
21,11000,4575,17.74
23,11000,1400,9.32
24,65000,32500,9.99
21,11389,4000,12.84
21,11520,2000,11.12
25,120000,32000,6.62
26,95000,31050,14.17
25,306000,24250,13.85
26,300000,7800,13.49
21,12000,2500,7.51
22,48000,30000,18.39
24,64000,30000,14.54
25,75000,30000,16.89
26,62050,30000,17.99
24,12000,2500,12.69
26,300000,20000,7.88
23,300000,24250,19.41
26,300000,10000,10.38
26,300000,25000,15.33
25,300000,18000,16.45
26,80690,30000,7.49
22,66300,30000,12.69
26,89028,30000,6.62
23,78000,30000,18.62
23,92004,30000,15.23
23,97000,30000,10.65
25,120000,30000,7.9
26,280000,10000,15.96
26,277104,20000,11.48
25,128000,30000,7.29
21,131000,30000,5.99
22,275000,12000,11.58
25,221850,25000,15.7
22,70000,29100,15.99
22,12000,1500,14.84
26,260000,28000,10.99
25,259000,20000,14.42
24,255000,9600,6.99
25,250000,25000,13.49
21,12000,3000,13.61
23,65000,28000,7.9
26,85000,28000,7.49
26,12000,6100,7.51
22,88000,28000,9.91
21,12000,4200,13.48
22,12000,4750,7.14
24,83004,28000,15.99
24,250000,18000,12.98
144,250000,4800,13.57
25,100000,28000,12.69
26,110000,28000,8.9
23,151200,28000,11.11
21,12000,3250,15.68
22,70000,27500,13.06
26,73200,27050,15.62
24,83000,27000,13.49
23,62500,26000,11.71
23,120000,25600,12.69
24,12360,1600,13.57
22,60000,25475,10.99
25,234000,20000,14.27
24,234000,20000,8.88
26,234000,21600,12.18
25,221004,11900,14.42
26,232500,25000,14.17
25,230000,35000,13.99
23,83000,25300,10.99
25,12600,1750,13.61
21,42500,25000,12.73
25,12816,3000,12.87
24,12960,3650,9.91
26,226000,20000,11.49
25,225000,30000,19.91
26,213000,35000,10.65
24,12960,4500,11.83
23,12996,2400,13.49
22,42000,25000,14.59
26,48000,25000,9.64
25,12996,3600,14.59
25,42360,25000,16.35
21,49000,25000,10.99
25,225000,25000,18.67
26,225000,3000,9.32
23,225000,7500,8.63
26,225000,25000,10.08
22,49464,25000,11.83
23,50000,25000,7.9
25,50000,25000,5.99
24,44000,25000,15.33
23,50000,25000,11.83
22,50004,25000,10.36
22,50004,25000,12.23
22,52000,25000,11.11
23,13200,4950,7.9
24,220000,25000,11.58
23,216000,21000,8.9
25,216000,25000,16.07
26,216000,20000,14.22
23,215000,35000,14.79
26,215000,12000,7.88
23,52000,25000,13.22
26,46000,25000,11.86
22,53000,25000,13.43
26,47000,25000,15.28
23,47000,25000,17.93
23,13200,1400,9.25
21,13200,4500,12.98
22,210000,16000,10.62
26,210000,22000,11.83
26,48000,25000,18.43
23,55000,25000,11.36
23,55000,25000,15.65
24,55164,25000,13.22
26,56000,25000,12.87
24,203500,20000,13.04
23,190000,22000,17.58
23,13920,7750,17.04
24,60000,25000,10.99
24,60000,25000,11.11
26,54000,25000,14.83
24,200000,12000,12.69
24,200000,12000,13.49
21,200000,16000,14.65
25,54000,25000,16.82
23,60000,25000,12.73
23,60000,25000,10.25
21,60000,25000,10.99
25,61959,25000,12.73
22,56400,25000,14.96
21,200000,25000,13.99
24,200000,24000,7.49
26,200000,15000,14.79
25,200000,15500,11.99
24,200000,10000,8.49
24,66000,25000,9.91
22,66000,25000,13.06
